City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,amos,48.5669,-78.1162,-9.9,95,66,3.37,CA,1708484999
271,ratnagiri,16.9833,73.3,24.29,56,0,3.98,IN,1708484999
272,princeville,45.7668,-61.2985,-6.43,69,89,4.47,CA,1708485000
273,sihanoukville,10.6093,103.5296,29.97,70,40,2.57,KH,1708484844
274,lucas,41.6501,-83.6666,4.17,70,0,3.09,US,1708485002
275,labrador city,52.9463,-66.9114,-26.57,71,92,4.4,CA,1708485003
276,freetown,8.484,-13.2299,25.62,85,75,2.27,SL,1708485004
277,tamandare,-8.7597,-35.1047,26.56,86,68,3.21,BR,1708485005
278,yeppoon,-23.1333,150.7333,31.88,60,98,4.05,AU,1708485006
279,mogadishu,2.0371,45.3438,26.46,81,100,7.26,SO,1708485006
280,fale old settlement,-9.3852,-171.2468,28.48,75,90,2.73,TK,1708485007
281,kilindoni,-7.9139,39.6668,28.07,82,49,5.58,TZ,1708485008
282,port saint john's,-31.6229,29.5448,21.91,92,2,1.63,ZA,1708485009
283,campoverde,-8.4753,-74.8058,28.83,97,98,0.53,PE,1708485009
284,kermit,31.8576,-103.0927,22.08,12,0,5.14,US,1708485010
285,namibe,-15.1961,12.1522,25.24,59,91,1.28,AO,1708485011
286,askoy,60.4092,5.226,5.16,100,100,2.57,NO,1708485012
287,verkhnevilyuysk,63.4453,120.3167,-21.32,95,99,4.13,RU,1708485012
288,sao vicente,-23.9631,-46.3919,24.1,26,98,1.64,BR,1708485013
289,crawfordsville,40.0411,-86.8745,8.17,60,0,2.57,US,1708485014
290,bredasdorp,-34.5322,20.0403,19.55,80,50,4.19,ZA,1708485014
291,zhongshu,24.5167,103.7667,18.85,24,0,8.32,CN,1708485015
292,nola,40.922,14.5329,12.44,81,2,2.79,IT,1708485016
293,mejit,10.2753,170.8646,27.01,81,57,8.52,MH,1708485017
294,nuku'alofa,-21.1333,-175.2,26.76,83,49,8.64,TO,1708485018
295,broome,42.2506,-75.833,0.21,71,0,2.57,US,1708485019
296,kharan,28.5833,65.4167,12.66,30,3,3.38,PK,1708485019
297,taoudenni,22.6783,-3.9836,19.73,26,0,8.55,ML,1708485022
298,cooper's town,26.8667,-77.5167,20.95,55,15,7.78,BS,1708485025
299,nieuw amsterdam,5.8833,-55.0833,24.43,82,67,3.92,SR,1708485030
300,hasaki,35.7333,140.8333,9.22,85,100,6.81,JP,1708485030
301,cleveland,41.4995,-81.6954,3.18,70,0,2.06,US,1708485031
302,dudinka,69.4058,86.1778,-15.18,93,100,12.96,RU,1708485031
303,urangan,-25.3,152.9,28.06,63,100,2.2,AU,1708485032
304,wagoner,35.9595,-95.3694,17.0,64,57,4.94,US,1708485033
305,al 'aziziyah,32.9058,45.0616,12.85,62,0,2.32,IQ,1708484842
306,arraial do cabo,-22.9661,-42.0278,23.92,95,100,6.2,BR,1708484965
307,orito,0.6766,-76.8771,23.33,94,89,1.79,CO,1708485035
308,tangerhutte,52.4333,11.8,8.45,85,100,5.64,DE,1708485036
309,bac lieu,9.285,105.7244,29.22,65,51,5.64,VN,1708485036
310,hammerfest,70.6634,23.6821,-7.75,93,100,4.12,NO,1708485037
311,palanga,55.9175,21.0686,2.01,93,100,1.54,LT,1708485037
312,naze,28.3667,129.4833,21.3,75,32,7.29,JP,1708484904
313,abu zabad,12.35,29.25,20.35,16,62,5.61,SD,1708485039
314,molina,-35.1167,-71.2833,19.85,73,0,1.03,CL,1708485039
315,colonia,50.9333,6.95,9.42,78,100,3.09,DE,1708484997
316,syktyvkar,61.6764,50.8099,-8.15,92,100,4.02,RU,1708485040
317,aban,56.67,96.06,-22.6,89,14,1.88,RU,1708485041
318,ingeniero guillermo n. juarez,-23.9,-61.85,25.3,45,4,3.02,AR,1708485042
319,portage la prairie,49.9728,-98.2926,-6.61,63,100,0.86,CA,1708485042
320,ivdel',60.6911,60.4206,-11.56,93,100,2.68,RU,1708485043
321,kavieng,-2.5744,150.7967,27.84,82,99,4.94,PG,1708485043
322,cill airne,52.05,-9.5167,10.52,97,100,3.53,IE,1708485045
323,longmen,24.9597,118.0889,27.84,54,29,3.95,CN,1708485045
324,pacific grove,36.6177,-121.9166,12.83,89,100,3.09,US,1708485034
325,puerto cabezas,14.0351,-83.3888,24.39,73,28,6.45,NI,1708485046
326,gillette,44.2911,-105.5022,3.86,50,0,1.79,US,1708485047
327,eldorado,-23.7869,-54.2836,22.62,70,65,1.79,BR,1708485048
328,pak phanang,8.3511,100.202,28.91,66,26,2.92,TH,1708484960
329,amahai,-3.3333,128.9167,31.7,62,89,0.83,ID,1708485049
330,east london,-33.0153,27.9116,20.7,86,49,6.94,ZA,1708485050
331,uturoa,-16.7333,-151.4333,28.05,74,82,3.4,PF,1708485051
332,ailuk,10.2197,169.9797,26.79,84,98,8.38,MH,1708485052
333,north bend,43.4065,-124.2243,11.59,81,100,7.2,US,1708485053
334,itoman,26.1247,127.6694,29.43,71,20,7.72,JP,1708485053
335,luderitz,-26.6481,15.1594,17.96,63,4,7.79,NA,1708485053
336,monrovia,6.3005,-10.7969,26.94,87,23,1.06,LR,1708485054
337,port alfred,-33.5906,26.891,19.54,88,64,3.13,ZA,1708485055
338,nema,57.5067,50.5011,-16.25,99,100,2.85,RU,1708485055
339,barclayville,4.6797,-8.2339,26.05,92,92,2.34,LR,1708485055
340,nadi,-17.8,177.4167,31.0,70,75,5.14,FJ,1708485056
341,manokwari,-0.8667,134.0833,25.8,89,100,3.16,ID,1708485057
342,santo antonio,-6.3106,-35.4789,25.06,90,61,1.89,BR,1708485058
